Flag,O0,O1,O2,O3,Always on/off (1/0) in train18a,Description,XOR,Include,Reason,Reason code,Dependent on,In arm-none-eabi-gcc 4.9.3,why missing,,O0,O1,O2,O3,,Always On,Always Off
-faggressive-loop-optimizations,1,1,1,1,,,,Y,,,,TRUE,,,-faggressive-loop-optimizations,-faggressive-loop-optimizations,-faggressive-loop-optimizations,-faggressive-loop-optimizations,,-fbtr-bb-exclusive,-fbranch-target-load-optimize2
-falign-functions,0,0,1,1,,,,Y,,,,TRUE,,,-fbranch-count-reg,-fbranch-count-reg,-falign-functions,-falign-functions,,-fdce,-ftree-bit-ccp
-falign-jumps,0,0,1,1,0,,,Y,,,,TRUE,,,-fcommon,-fcombine-stack-adjustments,-falign-jumps,-falign-jumps,,-fdefer-pop,-ftree-phiprop
-falign-labels,0,0,1,1,0,,,Y,,,,TRUE,,,-fdce,-fcommon,-falign-labels,-falign-labels,,-fdelete-null-pointer-checks,-fcse-follow-jumps
-falign-loops,0,0,1,1,,,,Y,,,,TRUE,,,-fdelete-null-pointer-checks,-fcompare-elim,-falign-loops,-falign-loops,,-fgcse-las,-funroll-loops
-fasynchronous-unwind-tables,0,0,0,0,,,,N,for debugging/execptions,D,,TRUE,,,-fdse,-fcprop-registers,-fbranch-count-reg,-fbranch-count-reg,,-finline-functions,-fsched-interblock
-fbranch-count-reg,1,1,1,1,,,,Y,,,,TRUE,,,-fearly-inlining,-fdce,-fcaller-saves,-fcaller-saves,,-finline-functions-called-once,-fsel-sched-pipelining-outer-loops
-fbranch-probabilities,0,0,0,0,,,,N,requires profile,P,,TRUE,,,-fgcse-lm,-fdefer-pop,-fcombine-stack-adjustments,-fcombine-stack-adjustments,,-finline-small-functions,-fstrict-aliasing
-fbranch-target-load-optimize,0,0,0,0,,,-fbranch-target-load-optimize2,Y,,,,TRUE,,,-finline,-fdelete-null-pointer-checks,-fcommon,-fcommon,,-fira-hoist-pressure,-fsched-stalled-insns
-fbranch-target-load-optimize2,0,0,0,0,0,,-fbranch-target-load-optimize,Y,,,,TRUE,,,-finline-atomics,-fdse,-fcompare-elim,-fcompare-elim,,-fmerge-constants,-falign-labels
-fbtr-bb-exclusive,0,0,0,0,1,,,Y,,,,TRUE,,,-fira-hoist-pressure,-fearly-inlining,-fcprop-registers,-fcprop-registers,,-fmodulo-sched,-fipa-sra
